#;name of the book;author;;move?;check?;released?;year;page;category;read?;reading?;tbr?;reread?;shelf;location;Info;image;#;;
3394;Az Secilen Yolun Otesi - Sonsuz Bir Ruhsal Tekamul Yolculugu;Scott Peck;Az Secilen Yolun Otesi - Sonsuz Bir Ruhsal Tekamul Yolculugu. Scott Peck;yes;;;2018;280;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Az%20Secilen%20Yolun%20Otesi%20-%20Sonsuz%20Bir%20Ruhsal%20Tekamul%20Yolculugu%20Scott%20Peck;https://www.google.com/search?q=Az%20Secilen%20Yolun%20Otesi%20-%20Sonsuz%20Bir%20Ruhsal%20Tekamul%20Yolculugu%20Scott%20Peck&tbm=isch;2394; ;
3393;Az Secilen Yol - Sevginin, Geleneksel Degerlerin ve Ruhsal Tekamulun Yeni Bir Psikolojisi;Scott Peck;Az Secilen Yol - Sevginin, Geleneksel Degerlerin ve Ruhsal Tekamulun Yeni Bir Psikolojisi. Scott Peck;yes;;;2015;328;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Az%20Secilen%20Yol%20-%20Sevginin,%20Geleneksel%20Degerlerin%20ve%20Ruhsal%20Tekamulun%20Yeni%20Bir%20Psikolojisi%20Scott%20Peck;https://www.google.com/search?q=Az%20Secilen%20Yol%20-%20Sevginin,%20Geleneksel%20Degerlerin%20ve%20Ruhsal%20Tekamulun%20Yeni%20Bir%20Psikolojisi%20Scott%20Peck&tbm=isch;2393; ;
3392;Kutsal Otu Ormek - Kadim Bilgelik, Bilimsel Bilgi ve Bitkilerin Ogretileri;Robin Wall Kimmerer;Kutsal Otu Ormek - Kadim Bilgelik, Bilimsel Bilgi ve Bitkilerin Ogretileri. Robin Wall Kimmerer;yes;;;2025;528;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Kutsal%20Otu%20Ormek%20-%20Kadim%20Bilgelik,%20Bilimsel%20Bilgi%20ve%20Bitkilerin%20Ogretileri%20Robin%20Wall%20Kimmerer;https://www.google.com/search?q=Kutsal%20Otu%20Ormek%20-%20Kadim%20Bilgelik,%20Bilimsel%20Bilgi%20ve%20Bitkilerin%20Ogretileri%20Robin%20Wall%20Kimmerer&tbm=isch;2392; ;
3391;Freud - Goruntunun Ortasindaki Karanlik;Louis Breger;Freud - Goruntunun Ortasindaki Karanlik. Louis Breger;n/a;;;2016;636;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Freud%20-%20Goruntunun%20Ortasindaki%20Karanlik%20Louis%20Breger;https://www.google.com/search?q=Freud%20-%20Goruntunun%20Ortasindaki%20Karanlik%20Louis%20Breger&tbm=isch;2391; ;
3390;Ilacla Tedavi Efsanesi - Psikiyatrik Ilac Kullanimina Elestirel Bir Bakis;Joanna Moncrieef;Ilacla Tedavi Efsanesi - Psikiyatrik Ilac Kullanimina Elestirel Bir Bakis. Joanna Moncrieef;n/a;;;2017;344;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Ilacla%20Tedavi%20Efsanesi%20-%20%20Psikiyatrik%20Ilac%20Kullanimina%20Elestirel%20Bir%20Bakis%20Joanna%20Moncrieef;https://www.google.com/search?q=Ilacla%20Tedavi%20Efsanesi%20-%20%20Psikiyatrik%20Ilac%20Kullanimina%20Elestirel%20Bir%20Bakis%20Joanna%20Moncrieef&tbm=isch;2390; ;
3389;Bir Bilim Insaninin Tutkulu Hikayesi - Bitkilerin Buyulu Dunyasi;Hope Jahren;Bir Bilim Insaninin Tutkulu Hikayesi - Bitkilerin Buyulu Dunyasi. Hope Jahren;n/a;;;2021;360;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Bir%20Bilim%20Insaninin%20Tutkulu%20Hikayesi%20-%20Bitkilerin%20Buyulu%20Dunyasi%20Hope%20Jahren;https://www.google.com/search?q=Bir%20Bilim%20Insaninin%20Tutkulu%20Hikayesi%20-%20Bitkilerin%20Buyulu%20Dunyasi%20Hope%20Jahren&tbm=isch;2389; ;
3388;Fildisi Kuyu 2 - Yaraticilik, Cinsellik ve Psikanaliz;Nihan Kaya;Fildisi Kuyu 2 - Yaraticilik, Cinsellik ve Psikanaliz. Nihan Kaya;n/a;;;2024;240;Psychology & Mental Life;✅;Reading;tbr?;reread?;C-4;house-2;https://www.google.com/search?q=Fildisi%20Kuyu%202%20-%20Yaraticilik,%20Cinsellik%20ve%20Psikanaliz%20Nihan%20Kaya;https://www.google.com/search?q=Fildisi%20Kuyu%202%20-%20Yaraticilik,%20Cinsellik%20ve%20Psikanaliz%20Nihan%20Kaya&tbm=isch;2388; ;
3387;Fildisi Kuyu 1 - Aile ve Toplum Tarafindan Dislanma;Nihan Kaya;Fildisi Kuyu 1 - Aile ve Toplum Tarafindan Dislanma. Nihan Kaya;n/a;;;2024;240;Psychology & Mental Life;✅;-;tbr?;📖;C-4;house-2;https://www.google.com/search?q=Fildisi%20Kuyu%201%20-%20Aile%20ve%20Toplum%20Tarafindan%20Dislanma%20Nihan%20Kaya;https://www.google.com/search?q=Fildisi%20Kuyu%201%20-%20Aile%20ve%20Toplum%20Tarafindan%20Dislanma%20Nihan%20Kaya&tbm=isch;2387; ;
3386;Beni Zorla Sagma, Birak Emzireyim Seni;Nihan Kaya;Beni Zorla Sagma, Birak Emzireyim Seni. Nihan Kaya;n/a;;;2024;228;Psychology & Mental Life;✅;-;tbr?;reread?;C-4;house-2;https://www.google.com/search?q=Beni%20Zorla%20Sagma,%20Birak%20Emzireyim%20Seni%20Nihan%20Kaya;https://www.google.com/search?q=Beni%20Zorla%20Sagma,%20Birak%20Emzireyim%20Seni%20Nihan%20Kaya&tbm=isch;2386; ;
3385;Buyuk Akil - Kolektif Akil Dunyamizi Nasil Degistirebilir?;Geoff Mulgan;Buyuk Akil - Kolektif Akil Dunyamizi Nasil Degistirebilir?. Geoff Mulgan;n/a;;;2021;368;category?;read?;-;📋;reread?;C-4;house-2;https://www.google.com/search?q=Buyuk%20Akil%20-%20Kolektif%20Akil%20Dunyamizi%20Nasil%20Degistirebilir?%20Geoff%20Mulgan;https://www.google.com/search?q=Buyuk%20Akil%20-%20Kolektif%20Akil%20Dunyamizi%20Nasil%20Degistirebilir?%20Geoff%20Mulgan&tbm=isch;2385; ;
